Date : 2021-04-01 10:15:53
Directory : c:\xampp\htdocs\WebBasedHotelReserve\hotel
Total : 484 files,  27530 codes, 10254 comments, 5269 blanks, all 43053 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Terminal\ConnectionToken.php                                | PHP      |          7 |         12 |          5 |         24 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Terminal\Location.php                                       | PHP      |         11 |         15 |          5 |         31 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Terminal\Reader.php                                         | PHP      |         11 |         20 |          5 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\ThreeDSecure.php                                            | PHP      |         12 |         20 |          6 |         38 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Token.php                                                   | PHP      |         12 |         40 |          6 |         58 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Topup.php                                                   | PHP      |         22 |         34 |          8 |         64 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Transfer.php                                                | PHP      |         39 |         79 |         13 |        131 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\TransferReversal.php                                        | PHP      |         31 |         40 |          9 |         80 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\UsageRecord.php                                             | PHP      |          6 |         16 |          4 |         26 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\UsageRecordSummary.php                                      | PHP      |          6 |         10 |          4 |         20 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\CaseInsensitiveArray.php                               | PHP      |         49 |         10 |         14 |         73 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\DefaultLogger.php                                      | PHP      |         18 |          6 |          6 |         30 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\LoggerInterface.php                                    | PHP      |          6 |         26 |          3 |         35 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\ObjectTypes.php                                        | PHP      |         93 |          4 |          4 |        101 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\RandomGenerator.php                                    | PHP      |         16 |         16 |          5 |         37 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\RequestOptions.php                                     | PHP      |        108 |         36 |         25 |        169 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\Set.php                                                | PHP      |         35 |          0 |         10 |         45 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Util\Util.php                                               | PHP      |        158 |         71 |         37 |        266 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\Webhook.php                                                 | PHP      |         18 |         18 |          7 |         43 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\WebhookEndpoint.php                                         | PHP      |         11 |         26 |          5 |         42 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\lib\WebhookSignature.php                                        | PHP      |         79 |         46 |         16 |        141 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\phpdoc.dist.xml                                                 | XML      |         31 |          0 |          1 |         32 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\phpunit.no_autoload.xml                                         | XML      |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\phpunit.xml                                                     | XML      |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\StripeMock.php                                            | PHP      |         65 |         18 |         18 |        101 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\AccountLinkTest.php                                | PHP      |         20 |          4 |          4 |         28 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\AccountTest.php                                    | PHP      |        490 |          6 |         57 |        553 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\AlipayAccountTest.php                              | PHP      |         63 |          6 |         13 |         82 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ApiRequestorTest.php                               | PHP      |        542 |          8 |         64 |        614 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ApplePayDomainTest.php                             | PHP      |         47 |          4 |          8 |         59 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ApplicationFeeRefundTest.php                       | PHP      |         19 |          4 |          5 |         28 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ApplicationFeeTest.php                             | PHP      |         64 |          4 |         10 |         78 |
