Date : 2021-04-01 10:15:53
Directory : c:\xampp\htdocs\WebBasedHotelReserve\hotel
Total : 484 files,  27530 codes, 10254 comments, 5269 blanks, all 43053 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Checkout\SessionServiceTest.php            | PHP      |         62 |          9 |         10 |         81 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\CoreServiceFactoryTest.php                 | PHP      |         22 |          9 |          7 |         38 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\CountrySpecServiceTest.php                 | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\CouponServiceTest.php                      | PHP      |         66 |          9 |         12 |         87 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\CreditNoteServiceTest.php                  | PHP      |        101 |          9 |         15 |        125 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\CustomerServiceTest.php                    | PHP      |        217 |          9 |         27 |        253 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\DisputeServiceTest.php                     | PHP      |         53 |          9 |         11 |         73 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\EphemeralKeyServiceTest.php                | PHP      |         43 |          9 |         11 |         63 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\EventServiceTest.php                       | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\ExchangeRateServiceTest.php                | PHP      |         24 |          9 |          8 |         41 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\FileLinkServiceTest.php                    | PHP      |         55 |          9 |         11 |         75 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\FileServiceTest.php                        | PHP      |         73 |          9 |         13 |         95 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\InvoiceItemServiceTest.php                 | PHP      |         66 |          9 |         12 |         87 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\InvoiceServiceTest.php                     | PHP      |        137 |          9 |         20 |        166 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Issuing\AuthorizationServiceTest.php       | PHP      |         63 |          9 |         12 |         84 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Issuing\CardServiceTest.php                | PHP      |         56 |          9 |         11 |         76 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Issuing\CardholderServiceTest.php          | PHP      |         67 |          9 |         12 |         88 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Issuing\DisputeServiceTest.php             | PHP      |         70 |          9 |         13 |         92 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Issuing\TransactionServiceTest.php         | PHP      |         45 |          9 |         10 |         64 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\MandateServiceTest.php                     | PHP      |         23 |          9 |          8 |         40 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\OAuthServiceTest.php                       | PHP      |        117 |          6 |         18 |        141 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\OrderReturnServiceTest.php                 | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\OrderServiceTest.php                       | PHP      |         73 |          9 |         13 |         95 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\PaymentIntentServiceTest.php               | PHP      |         84 |          9 |         14 |        107 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\PaymentMethodServiceTest.php               | PHP      |         78 |          9 |         13 |        100 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\PayoutServiceTest.php                      | PHP      |         74 |          9 |         13 |         96 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\PlanServiceTest.php                        | PHP      |         68 |          9 |         12 |         89 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\PriceServiceTest.php                       | PHP      |         62 |          9 |         11 |         82 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\ProductServiceTest.php                     | PHP      |         64 |          9 |         12 |         85 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\PromotionCodeServiceTest.php               | PHP      |         56 |          9 |         11 |         76 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Radar\EarlyFraudWarningServiceTest.php     | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Radar\ValueListItemServiceTest.php         | PHP      |         57 |          9 |         11 |         77 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Radar\ValueListServiceTest.php             | PHP      |         66 |          9 |         12 |         87 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\RefundServiceTest.php                      | PHP      |         55 |          9 |         11 |         75 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Reporting\ReportRunServiceTest.php         | PHP      |         49 |          9 |         11 |         69 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Reporting\ReportTypeServiceTest.php        | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\ReviewServiceTest.php                      | PHP      |         42 |          9 |         10 |         61 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SetupAttemptServiceTest.php                | PHP      |         25 |          9 |          7 |         41 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SetupIntentServiceTest.php                 | PHP      |         76 |          9 |         13 |         98 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Sigma\ScheduledQueryRunServiceTest.php     | PHP      |         33 |          9 |          9 |         51 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SkuServiceTest.php                         | PHP      |         71 |          9 |         12 |         92 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SourceServiceTest.php                      | PHP      |         72 |         10 |         13 |         95 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SubscriptionItemServiceTest.php            | PHP      |         93 |          9 |         14 |        116 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SubscriptionScheduleServiceTest.php        | PHP      |         80 |          9 |         13 |        102 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\SubscriptionServiceTest.php                | PHP      |         90 |          9 |         14 |        113 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\TaxRateServiceTest.php                     | PHP      |         57 |          9 |         11 |         77 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Terminal\ConnectionTokenServiceTest.php    | PHP      |         22 |          9 |          7 |         38 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Terminal\LocationServiceTest.php           | PHP      |         83 |          9 |         12 |        104 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\Terminal\ReaderServiceTest.php             | PHP      |         63 |          9 |         12 |         84 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\TokenServiceTest.php                       | PHP      |         32 |          9 |          9 |         50 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\TopupServiceTest.php                       | PHP      |         68 |          9 |         12 |         89 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\TransferServiceTest.php                    | PHP      |        116 |         10 |         16 |        142 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Service\WebhookEndpointServiceTest.php             | PHP      |         65 |          9 |         12 |         86 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SetupAttemptTest.php                               | PHP      |         18 |          4 |          4 |         26 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SetupIntentTest.php                                | PHP      |         82 |          4 |         11 |         97 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Sigma\ScheduledQueryRunTest.php                    | PHP      |         18 |          4 |          6 |         28 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SourceTest.php                                     | PHP      |        129 |          4 |         18 |        151 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\StripeClientTest.php                               | PHP      |         12 |          4 |          3 |         19 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\StripeObjectTest.php                               | PHP      |        412 |         32 |         89 |        533 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\StripeTelemetryTest.php                            | PHP      |         83 |         11 |         24 |        118 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\StripeTest.php                                     | PHP      |         22 |         11 |          7 |         40 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SubscriptionItemTest.php                           | PHP      |        108 |          4 |         13 |        125 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SubscriptionScheduleTest.php                       | PHP      |         88 |          4 |         11 |        103 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\SubscriptionTest.php                               | PHP      |        101 |          4 |         12 |        117 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\TaxIdTest.php                                      | PHP      |         26 |          4 |          6 |         36 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\TaxRateTest.php                                    | PHP      |         61 |          4 |          9 |         74 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Terminal\ConnectionTokenTest.php                   | PHP      |         15 |          4 |          4 |         23 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Terminal\LocationTest.php                          | PHP      |         87 |          4 |         11 |        102 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Terminal\ReaderTest.php                            | PHP      |         69 |          4 |         11 |         84 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\ThreeDSecureTest.php                               | PHP      |         29 |          4 |          6 |         39 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\TokenTest.php                                      | PHP      |         25 |          4 |          6 |         35 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\TopupTest.php                                      | PHP      |         73 |          4 |         10 |         87 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\TransferReversalTest.php                           | PHP      |         19 |          4 |          5 |         28 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\TransferTest.php                                   | PHP      |        116 |          5 |         15 |        136 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Util\CaseInsensitiveArrayTest.php                  | PHP      |         35 |          4 |         14 |         53 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Util\DefaultLoggerTest.php                         | PHP      |         19 |          6 |          7 |         32 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Util\ObjectTypesTest.php                           | PHP      |         11 |          4 |          4 |         19 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Util\RequestOptionsTest.php                        | PHP      |        147 |          4 |         22 |        173 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\Util\UtilTest.php                                  | PHP      |        114 |          8 |         19 |        141 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\WebhookEndpointTest.php                            | PHP      |         70 |          4 |         10 |         84 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\Stripe\WebhookTest.php                                    | PHP      |         93 |          5 |         24 |        122 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\TestHelper.php                                            | PHP      |         99 |         69 |         20 |        188 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\bootstrap.no_autoload.php                                 | PHP      |          3 |          0 |          3 |          6 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\bootstrap.php                                             | PHP      |         49 |          6 |         16 |         71 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\tests\openapi\README.md                                         | Markdown |          7 |          0 |          3 |         10 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\stripe-php\update_certs.php                                                | PHP      |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\submit.php                                                                 | PHP      |         65 |          2 |         11 |         78 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\tnc.php                                                                    | PHP      |        308 |          0 |          1 |        309 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\updateHotel.php                                                            | PHP      |         76 |         17 |         12 |        105 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\whitelistHotelier.php                                                      | PHP      |         78 |          0 |          4 |         82 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\whitelistHotelierToDB.php                                                  | PHP      |         44 |          0 |          6 |         50 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\whitelistToDB.php                                                          | PHP      |         44 |          0 |          6 |         50 |
| c:\xampp\htdocs\WebBasedHotelReserve\hotel\whitelistUser.php                                                          | PHP      |         78 |          0 |          4 |         82 |
| Total                                                                                                                 |          |     27,530 |     10,254 |      5,269 |     43,053 |
+-----------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
